source,edge,target,sentence,edge-comments,label
anti-vaccination,will likely also be ostracized by,members of the herd,anti-vaccination will likely also be ostracized by members of the herd,,neg
reduction in mortality,up to 80% in,developing countries,reduction in mortality up to 80% in developing countries,says Michael Mina,pos
vaccine doctrine,has become,poisoning children,vaccine doctrine has become poisoning children,for profit,neg
Alysia Osoff,is,pediatrics instructor,Alysia Osoff is pediatrics instructor,,neg
protection,lower level with,acellular pertussis vaccine,protection lower level with acellular pertussis vaccine,Gambhir research finds,neu
toxic chemical ingredients,damage victims,vaccine injuries,toxic chemical ingredients damage victims vaccine injuries,,neg
MTHFR C677T defect,cannot break down,folic acid,MTHFR C677T defect cannot break down folic acid,,neg
government partnership with Big Pharma,based on bad,science,government partnership with Big Pharma based on bad science,,neg
CDC,has been trying to bury for over a decade,vaccine-autism link,CDC has been trying to bury for over a decade vaccine-autism link,,neg
National Vaccine Injury Compensation Program,"although difficult, is much easier than trying to sue",pharmaceutical companies,"National Vaccine Injury Compensation Program although difficult, is much easier than trying to sue pharmaceutical companies",,neg
narcolepsy,occurred in children after receiving,Pandemrix,narcolepsy occurred in children after receiving Pandemrix,,neg
Disneyland measles outbreak,created a firestorm of interest in,vaccination,Disneyland measles outbreak created a firestorm of interest in vaccination,,pos
doctors,take time to locate who treats you with,respect,doctors take time to locate who treats you with respect,,neg
National Vaccine Information Center,is a non-profit group about,vaccine safety,National Vaccine Information Center is a non-profit group about vaccine safety,,neg
Amish,have near-zero,autism rate,Amish have near-zero autism rate,,neg
Merck,exposed for lying about,vaccine efficacy,Merck exposed for lying about vaccine efficacy,,neg
unvaccinated children,developed naturally without vaccines,immune system,unvaccinated children developed naturally without vaccines immune system,,neg
HPV vaccine,is about,preventing cancer,HPV vaccine is about preventing cancer,,pos
whole-cell vaccine,caused reactions in some,children,whole-cell vaccine caused reactions in some children,,neu
findings,might have been expected by anyone following,research,findings might have been expected by anyone following research,,pos
GlaxoSmithKline,recalling remaining doses of,2014-2015 FLULAVAL QUADRIVALENT flu vaccine,GlaxoSmithKline recalling remaining doses of 2014-2015 FLULAVAL QUADRIVALENT flu vaccine,,pos
children,in Norway were,brain-damaged,children in Norway were brain-damaged,in Norway,neg
children,hundreds permanently brain damaged by,pandemic H1N1 swine flu vaccine,children hundreds permanently brain damaged by pandemic H1N1 swine flu vaccine,,neg
unvaccinated children,kindergarteners would require,home-school,unvaccinated children kindergarteners would require home-school,,pos
vaccine industry,has,criminal side,vaccine industry has criminal side,,neg
death from car accident,more common than,measles mortality,death from car accident more common than measles mortality,before measles vaccine,neg
Robert F. Kennedy Jr.,wrote Rolling Stone article exposing truth about,drug industry's greed,Robert F. Kennedy Jr. wrote Rolling Stone article exposing truth about drug industry's greed,,neg
polio vaccine opposition,has had much to do with,political issues,polio vaccine opposition has had much to do with political issues,"in Afghanistan, Nigeria, Pakistan",pos
harassment,by,school officials,harassment by school officials,,neg
vaccination schedule,is,illogical,vaccination schedule is illogical,,neg
vaccine additives,include,monosodium glutamate,vaccine additives include monosodium glutamate,,neg
safe level,there is none for injecting into human,children,safe level there is none for injecting into human children,of mercury,neg
vaccine delusions,are being played ot across the,world,vaccine delusions are being played ot across the world,,neg
people,daring to ask intelligent questions are now being threatened with,imprisonment,people daring to ask intelligent questions are now being threatened with imprisonment,,neg
side effects,are rare,vaccines,side effects are rare vaccines,,neu
infants,at 2 months can recieve first,whooping cough vaccine,infants at 2 months can recieve first whooping cough vaccine,,pos
Disneyland measles outbreak,showed once again that,measles,Disneyland measles outbreak showed once again that measles,is highly contagious disease,pos
parents,opt out of,recommended vaccine schedule,parents opt out of recommended vaccine schedule,,pos
children,all should have an equal chance at,early education,children all should have an equal chance at early education,says lady opening unvaccinated-friendly day care centres,pos
Baby Boomers,were highly susceptible beause they were almost exclusively fed,formula,Baby Boomers were highly susceptible beause they were almost exclusively fed formula,,neg
mercury,there is no,safe form of mercury,mercury there is no safe form of mercury,,neg
SB 277,would have impact on,schools,SB 277 would have impact on schools,California Coalition for Health Choice,pos
vaccine requirements,can be exempt for,personal belief reasons,vaccine requirements can be exempt for personal belief reasons,,pos
California government,poisoning more children with,aluminum,California government poisoning more children with aluminum,,neg
serious reactions,involving,emergency room visits,serious reactions involving emergency room visits,VAERS hepatitis B reports,neg
vaccine industry,gives millions to,American Academy of Pediatrics,vaccine industry gives millions to American Academy of Pediatrics,,neg
immune response,could be less potent after waiting longer to get,vaccines,immune response could be less potent after waiting longer to get vaccines,,pos
Jenny McCarthy,used somewhat,crazy approach,Jenny McCarthy used somewhat crazy approach,,neg
SB 277,abolishing most,vaccination exemption,SB 277 abolishing most vaccination exemption,,pos
parents,have been delaying vaccination for,daughters,parents have been delaying vaccination for daughters,,pos
harassment,by,employers,harassment by employers,,neg
studies,provides further evidence of,MMR vaccine safety,studies provides further evidence of MMR vaccine safety,,pos
parents,some (roughly 23 percent of reluctant group) have,distrust of medical establishment,parents some (roughly 23 percent of reluctant group) have distrust of medical establishment,,pos
people,are expected to just,line up,people are expected to just line up,in herd mentality,neg
Gambhir study,suggests changes to pertussis,vaccination schedule,Gambhir study suggests changes to pertussis vaccination schedule,,neu
environmental factors,trigger strikes during particular window in,brain development,environmental factors trigger strikes during particular window in brain development,,pos
